"Time","X-Axis Acceleration","Y-Axis Acceleration","Z-Axis Acceleration"
8.6750,-9.91,2.41,4.93
8.6875,-10.16,2.49,4.71
8.7000,-10.05,2.80,4.62
8.7125,-9.93,3.03,4.57
8.7250,-9.91,2.80,4.37
8.7375,-9.60,2.44,4.31
8.7500,-9.43,2.16,4.09
8.7625,-9.35,1.93,4.01
8.7750,-9.18,2.16,3.92
8.7875,-9.09,2.61,3.84
8.8000,-8.95,2.80,3.78
8.8125,-8.90,2.80,3.70
8.8250,-8.65,2.94,3.64
8.8375,-8.48,3.05,3.61
8.8500,-8.62,2.91,3.50
8.8625,-8.65,2.63,3.45
8.8750,-8.73,2.52,3.33
8.8875,-8.79,2.61,3.25
8.9000,-8.84,2.69,3.14
8.9125,-9.04,2.80,3.03
8.9250,-9.18,2.97,3.11
8.9375,-9.43,3.11,3.08
8.9500,-9.71,3.31,3.14
8.9625,-9.79,3.53,3.19
8.9750,-9.71,3.61,3.25
8.9875,-9.57,3.59,3.33
9.0000,-9.43,3.39,3.39
9.0125,-9.04,3.31,3.64
9.0250,-8.87,3.33,3.78
9.0375,-8.73,3.42,3.75
9.0500,-8.53,3.47,3.78
9.0625,-8.23,3.50,3.81
9.0750,-7.92,3.47,3.78
9.0875,-7.92,3.53,3.75
9.1000,-7.72,3.59,3.87
9.1125,-7.61,3.67,3.95
9.1250,-7.58,3.87,4.12
9.1375,-7.53,3.87,4.29
9.1500,-7.61,3.70,4.34
9.1625,-7.86,3.56,4.40
9.1750,-8.06,3.39,4.43
9.1875,-8.39,3.28,4.40
9.2000,-8.70,3.11,4.40
9.2125,-8.98,2.86,4.37
9.2250,-9.15,2.72,4.34
9.2375,-9.12,2.49,4.31
9.2500,-9.18,2.30,4.29
9.2625,-9.23,2.27,4.26
9.2750,-9.21,2.33,4.29
9.2875,-9.23,2.35,4.23
9.3000,-9.29,2.27,4.26
9.3125,-9.21,2.13,4.31
9.3250,-9.18,1.93,4.34
9.3375,-9.12,1.77,4.34
9.3500,-9.15,1.77,4.45
9.3625,-9.15,1.82,4.48
9.3750,-9.26,1.88,4.51
9.3875,-9.54,2.10,4.59
9.4000,-9.85,2.21,4.65
9.4125,-10.13,2.38,4.71
9.4250,-10.27,2.61,4.82
9.4375,-10.30,2.69,4.90
9.4500,-10.19,2.55,4.93
9.4625,-10.07,2.35,5.10
9.4750,-9.85,2.21,5.15
9.4875,-9.65,2.24,5.32
